city,zhvi,total_pop,med_income,med_age,male,female,race_w,race_aa,race_nat,race_as,race_api,race_oth,eth_hisp,eth_nonhisp,murder_mansl,rape,robbery,agg_assault,burglary,lar_theft,car_theft,arson,lat,long
Cowden,76991.42,1002,40833,45.9,560,442,996,6,9,2,0,2,14,988,0,0,0,0,1,4,0,0,39.2483753,-88.8622895
Creal Springs,125598,2532,64777,49.6,1324,1208,2526,3,0,37,0,0,0,2532,0,0,0,0,0,0,0,0,37.6194946,-88.8367311
Crescent City,81951.58,775,55250,39.8,345,430,774,6,5,1,0,0,11,764,0,0,0,0,0,0,0,0,40.7700351,-87.8589251
Crest Hill,172916.83,18254,54530,39.1,9650,8604,13420,3590,252,769,0,909,3334,14920,1,16,9,16,29,148,26,0,41.554753,-88.0986709
Creston,113327.92,339,60156,35.5,165,174,284,12,4,5,4,39,67,272,0,0,0,0,0,0,0,0,41.9308618,-88.9645382
Crete,181169.83,15225,69491,48.6,7529,7696,10203,4551,108,170,0,576,1101,14124,0,2,1,14,16,108,8,1,41.4444791,-87.6314312
Cropsey,86411.75,194,112578,44.4,87,107,194,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,40.6092009,-88.4786678
Crossville,49219.5,1175,47321,48.4,534,641,1153,10,4,9,4,2,8,1167,0,0,0,0,0,0,0,0,38.1617133,-88.0653123
Crystal Lake,272038.045,29700.5,107453.5,43.9,14854.5,14846,28170,487.5,182.5,849.5,8.5,401.5,3224.5,26476,0,12,4,22,37,602,9,0,42.2411344,-88.3161965
Cuba,83438.5,2192,58641,47.2,1073,1119,2122,92,0,0,0,5,15,2177,0,0,0,0,0,0,0,0,40.4928181,-90.1906768
Cullom,73413.25,803,39875,33.3,318,485,803,69,38,0,0,0,19,784,0,0,0,0,0,0,0,0,40.8778116,-88.2692177
Cypress,68029.83,481,53393,34.8,200,281,460,44,1,0,0,0,0,481,0,0,0,0,0,0,0,0,37.3650516,-89.0181271
Dahlgren,80852.5,1334,56000,41.8,589,745,1334,0,0,0,0,0,54,1280,0,0,0,0,0,0,0,0,38.1981041,-88.6845019
Dakota,114644.58,1002,51923,40.9,470,532,1002,30,3,2,0,2,21,981,0,0,0,0,0,0,0,0,42.3886272,-89.526227
Pittsfield,86118.67,5758,39311,44.5,2943,2815,5539,199,26,6,0,12,52,5706,1,3,0,3,8,22,1,0,39.6078254,-90.805129
Plainfield,267312.61,32852.6666666667,103276,36.4,15887.6666666667,16965,26391,3226,150.333333333333,1980.33333333333,34.3333333333333,1925.66666666667,5875.33333333333,26977.3333333333,0,14,7,33,34,275,19,0,41.6269745,-88.2039539
Plainville,79070.92,620,51964,44.6,362,258,615,0,0,2,3,2,2,618,0,0,0,0,0,0,0,0,39.7858798,-91.1854191
Plano,175292.58,13259,72542,33.1,6773,6486,11348,1478,58,157,22,503,3754,9505,0,4,1,4,8,61,3,1,41.6628076,-88.5370197
Pleasant Hill,60704.5,1589,45991,41.5,793,796,1556,0,33,0,1,0,13,1576,0,0,0,0,5,19,0,0,39.4433806,-90.8723527
Pleasant Plains,156911.17,2269,66382,48.5,1121,1148,2236,23,0,15,0,2,48,2221,0,0,0,0,1,5,0,0,39.8728269,-89.9212211
Plymouth,49629.33,1033,37266,52.3,550,483,1024,9,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,40.2917112,-90.919023
Polo,88212.33,3640,57525,44.1,1902,1738,3535,27,27,32,0,39,125,3515,0,0,0,0,0,0,0,0,41.986141,-89.5792782
Pomona,101391.92,325,30750,36.9,202,123,325,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,37.6281057,-89.3367556
Pontiac,100024.33,14026,52017,41.1,7479,6547,12422,1392,95,192,0,125,709,13317,0,0,4,36,21,149,2,1,40.8808666,-88.6297839
Poplar Grove,149040.42,10360,70056,34.8,5407,4953,9637,562,252,83,9,65,1052,9308,0,0,0,0,0,0,0,0,42.3683522,-88.822047
Port Byron,208954.33,4750,68774,41.3,2396,2354,4561,66,93,82,0,216,278,4472,0,0,0,0,0,0,0,0,41.6064219,-90.3354061
Posen,113429.33,5780,47010,30.2,2811,2969,4353,1015,151,71,0,450,3075,2705,0,1,6,7,14,82,20,0,41.6317008,-87.681437
Potomac,78225.25,1560,54423,32.5,782,778,1482,39,2,50,0,9,27,1533,0,1,0,1,2,1,0,0,40.305036,-87.8005829
Prairie City,27038.08,537,47222,43,253,284,520,18,0,20,0,0,23,514,0,0,0,0,0,0,0,0,40.6211512,-90.4620731
Princeton,116978.67,10680,59638,46.9,4917,5763,10382,61,67,81,8,188,742,9938,0,11,1,10,26,128,6,0,41.3680919,-89.4648145
Princeville,141079.83,3263,62241,41.8,1630,1633,3190,22,11,80,2,0,208,3055,0,0,0,0,0,0,0,0,40.9297591,-89.7576022
Prophetstown,110079.25,3245,59000,47.4,1627,1618,3181,61,15,35,14,0,36,3209,0,0,0,0,1,0,0,0,41.6714198,-89.9362249
Prospect Heights,362579.25,16049,66379,38.6,8298,7751,11175,336,0,1452,17,3236,5156,10893,0,5,3,17,11,61,10,0,42.0953049,-87.9375694
Radom,49886.67,159,43214,47.8,74,85,154,0,0,0,0,5,5,154,0,0,0,0,0,0,0,0,38.2819943,-89.1922994
Raleigh,111638.33,744,49688,29.8,355,389,743,0,9,10,0,0,9,735,0,0,0,0,0,0,0,0,37.8269921,-88.5319958
Ramsey,72067.5,2433,38750,42.7,1182,1251,2425,8,21,0,0,0,0,2433,0,0,0,0,0,0,0,0,39.1444882,-89.108685
Rankin,46764.67,1092,56683,42.5,574,518,1072,6,8,0,0,17,98,994,0,0,0,0,0,0,0,0,40.4650357,-87.8964219
Ransom,104742.92,497,82500,47,260,237,497,0,3,0,0,0,11,486,0,0,0,0,0,0,0,0,41.1561445,-88.6495133
Rantoul,67382.67,14296,43030,34.4,6977,7319,10544,3128,101,663,147,407,1554,12742,1,18,14,2,92,243,14,1,40.3083672,-88.1558785
Rapids City,142288.17,479,74375,41.5,226,253,464,8,1,15,0,9,9,470,0,0,0,0,0,0,0,0,41.5817,-90.3434615
Raritan,47391,60,46667,63.5,28,32,60,0,7,0,0,0,0,60,0,0,0,0,0,0,0,0,40.6958732,-90.8273591
Raymond,82691.33,1196,53816,42.8,487,709,1184,13,4,12,0,0,0,1196,0,0,0,0,0,0,0,0,39.3194941,-89.5720367
Reddick,124382.67,725,75000,40.9,375,350,706,16,0,0,0,19,19,706,0,0,0,0,0,0,0,0,41.0982752,-88.2486749
Redmon,58255.5,145,52500,57.1,68,77,131,0,0,14,0,0,0,145,0,0,0,0,0,0,0,0,39.6453126,-87.8616975
Reynolds,117220.42,870,56375,46.3,460,410,865,4,0,0,0,1,17,853,0,0,0,0,0,0,0,0,41.3297558,-90.670416
Richmond,250013.33,3581,62750,41.7,1747,1834,3404,85,137,80,6,13,313,3268,0,3,1,7,4,15,1,0,42.4758522,-88.3059251
Richton Park,136583.5,14055,55625,37.9,6720,7335,1571,12225,180,254,0,262,393,13662,0,7,27,21,40,235,56,0,41.484479,-87.7033787
Richview,81501.25,575,61667,53.2,295,280,570,33,4,0,0,0,0,575,0,0,0,0,0,0,0,0,38.378383,-89.1800752
Ridge Farm,57829.25,1320,52679,41.5,725,595,1267,21,5,1,0,48,67,1253,0,0,0,0,3,11,0,0,39.8955918,-87.6519669
Ridott,147274.08,752,55000,60.3,376,376,740,3,0,12,0,0,0,752,0,0,0,0,0,0,0,0,42.2964089,-89.4753917
Rinard,62617.08,443,50700,33.8,182,261,435,8,0,0,0,0,0,443,0,0,0,0,0,0,0,0,38.5706035,-88.4656042
Ringwood,288286,1021,116667,46.6,530,491,968,12,0,37,0,4,21,1000,0,0,0,0,0,0,0,0,42.3922427,-88.2970335
Rio,106608.17,517,72727,56.3,293,224,506,10,0,3,0,0,37,480,0,0,0,0,0,0,0,0,41.1092036,-90.399851
River Forest,684300.75,11064,121908,41.3,5383,5681,9598,768,58,676,0,246,650,10414,0,0,6,8,32,193,8,0,41.8978091,-87.8139483
River Grove,227787.33,10148,55508,38.4,4828,5320,8742,174,67,193,0,1299,3014,7134,0,0,0,0,0,0,0,0,41.9258642,-87.8358943
Riverdale,66256.83,28577,31954,32.7,12911,15666,1961,26627,243,63,0,290,1222,27355,5,11,41,42,88,237,52,2,41.6333678,-87.6331021
Riverside,316689.92,15685,79266,42.3,7653,8032,13649,595,108,767,0,986,3452,12233,0,5,4,4,11,77,3,0,41.8350316,-87.8228358
Riverton,135484.33,5350,64077,39.4,2511,2839,5289,53,52,29,0,0,18,5332,0,3,0,9,10,26,5,0,39.8442164,-89.5395417
Roanoke,109992.92,2469,56071,44.5,1251,1218,2437,15,0,9,0,10,82,2387,0,0,0,0,0,0,0,0,40.7961465,-89.1973042
Robbins,53821.86,4870,26661,36.4,2537,2333,475,4420,43,12,0,25,308,4562,2,3,5,28,8,26,23,3,41.6439227,-87.7036602
Roberts,48876.58,645,42083,38.1,355,290,632,10,3,0,0,8,22,623,0,0,0,0,0,0,0,0,40.6128127,-88.1833798
Robinson,90717.5,11088,50383,40.5,6200,4888,9807,1192,76,190,7,107,611,10477,0,0,0,0,0,0,0,0,39.0053201,-87.7391936
Rochelle,122508.5,14289,54797,38,7438,6851,12785,463,242,128,16,963,3403,10886,0,0,0,0,0,0,0,0,41.9239178,-89.0687074
Dallas City,64467.42,1746,50347,50.1,870,876,1692,64,1,10,0,0,0,1746,0,0,0,2,2,1,0,0,40.6361527,-91.1673681
Dalton City,120025.17,670,64107,46.4,334,336,670,11,9,0,0,0,9,661,0,0,0,0,0,0,0,0,39.7119804,-88.8045162
Dalzell,101846,724,54000,48.1,390,334,655,22,6,26,0,23,42,682,0,0,0,0,0,0,0,0,41.3578126,-89.176196
Dana,74075.08,248,51250,46.4,102,146,248,0,0,0,0,0,13,235,0,0,0,0,0,0,0,0,40.9578103,-88.9500761
Danforth,78894.67,925,58594,41.1,430,495,910,4,2,18,0,0,13,912,0,0,0,0,0,0,0,0,40.820312,-87.977818
Danvers,137779.67,2057,83750,39.6,1034,1023,2035,35,26,37,0,0,10,2047,0,0,0,0,0,2,0,0,40.5294818,-89.1773055
Danville,86472.04,21848,50180,40.2,10875,10973,16141.5,5613,66,272,29.5,175,1163,20685,12,53,103,391,379,1052,77,15,40.124481,-87.6300207
Darien,341551.08,23163,93118,45.4,11115,12048,18986,871,59,3381,10,684,1351,21812,2,10,1,12,23,199,9,0,41.7519754,-87.9739494
Davis,153799.5,3244,67443,47.7,1624,1620,3205,27,33,16,0,0,5,3239,0,0,0,0,0,0,0,0,42.4225149,-89.4137259
Davis Junction,160326.83,3131,68654,33.3,1612,1519,3045,72,7,22,0,46,331,2800,0,0,0,0,0,0,0,0,42.1016919,-89.0931574
Dawson,148165.67,1637,83906,46.2,781,856,1609,16,0,0,0,25,25,1612,0,0,0,0,0,0,0,0,39.8528263,-89.463428
De Land,89064.58,610,64813,43.8,313,297,608,2,12,0,0,0,22,588,0,0,0,0,0,0,0,0,40.1222568,-88.6453453
De Soto,67245.08,2948,50290,40.8,1457,1491,2875,87,48,27,6,19,179,2769,0,0,0,3,2,10,0,0,37.8175506,-89.2278613
Decatur,85488.9375,21133,37703.5,38.075,10021.25,11111.75,16899.5,4490.25,558.5,270,10.75,159,542.75,20590.25,9,30,84,235,618,1325,107,23,39.8403147,-88.9548001
Deer Creek,123734.08,831,61458,38.4,406,425,831,2,0,0,0,0,3,828,0,1,1,1,9,4,0,0,40.6300374,-89.3325886
Deer Grove,90249.33,248,100972,57.2,110,138,248,0,0,0,0,0,1,247,0,0,0,0,0,0,0,0,41.607811,-89.689547
Deerfield,489269.25,27452,142409,43.6,13323,14129,25020,336,90,2122,5,165,981,26471,1,1,1,1,16,115,6,0,42.1711365,-87.8445119
Delavan,106988.42,2765,59798,41.8,1358,1407,2727,20,13,10,0,6,115,2650,0,0,0,2,22,21,1,0,40.3725415,-89.5473245
Dennison,106442.83,485,100139,46.5,212,273,485,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,39.4608688,-87.5978025
Des Plaines,279870.75,45011.5,62597.5,40,22184,22827.5,32184.5,1714.5,327.5,9304,75.5,2305.5,9479.5,35532,1,6,12,20,65,623,37,2,42.0333623,-87.8833991
Dieterich,121842.5,2445,65260,34.9,1273,1172,2414,1,38,22,0,8,12,2433,0,0,0,0,0,0,0,0,39.0619868,-88.3797668
Divernon,108799.42,1458,63750,45,671,787,1449,0,3,9,0,0,14,1444,0,0,0,0,0,5,1,0,39.5656082,-89.6573192
Dix,100441.25,1245,43864,45.6,661,584,1227,13,5,43,0,12,14,1231,0,0,0,0,0,0,0,0,38.4417157,-88.9375635
