Cambridge,3534,1871,1663,3414,80,20,10,0,10,45,3489,62132,42,109904.17,0,0,0,2,1,6,0,0,41.3036472,-90.1928971
Berwyn,63554,31612,31942,37987,4595,612,2431,65,19998,39477,24077,60814,35.5,226024.58,1,54,54,82,99,629,90,6,41.8505874,-87.7936685
Cordova,1208,635,573,1192,12,0,0,0,6,23,1185,69867,52.4,140774.08,0,0,0,0,0,0,0,0,41.6803099,-90.319018
Seneca,3678,1870,1808,3661,4,5,25,0,0,219,3459,71198,35.6,167446,0,0,0,13,8,32,0,0,41.3111442,-88.6097936
Indianola,418,212,206,416,10,0,0,0,0,2,416,53929,44.8,54744.75,0,0,0,0,0,0,0,0,39.927258,-87.740025
Rankin,1092,574,518,1072,6,8,0,0,17,98,994,56683,42.5,46764.67,0,0,0,0,0,0,0,0,40.4650357,-87.8964219
Bonfield,1409,726,683,1338,31,72,2,0,8,41,1368,72266,53,203333.42,0,0,0,0,0,0,0,0,41.1466986,-88.0578276
Anchor,201,106,95,201,0,0,0,0,0,0,201,60625,30.1,84136.58,0,0,0,0,0,0,0,0,40.5680898,-88.5356146
Harmon,605,321,284,578,10,0,5,0,17,20,585,49318,46,108810.42,0,0,0,0,0,0,0,0,41.722811,-89.5539905
Tonica,1393,741,652,1384,0,7,10,0,13,93,1300,59583,41.9,106838.17,0,0,0,0,0,0,0,0,41.2158684,-89.0667489
Topeka,540,276,264,540,16,4,0,0,0,0,540,38750,45.8,42661.75,0,0,0,0,0,0,0,0,40.3303196,-89.9312252
Albany,1121,531,590,1119,0,2,0,0,2,47,1074,55000,45.4,117470.75,0,1,0,0,2,4,0,0,41.7894748,-90.2192941
Sugar Grove,12166,6172,5994,10961,631,123,365,0,319,846,11320,111558,45.5,284040.25,0,0,0,0,0,0,0,0,41.7614181,-88.443686
Batavia,29533,14540,14993,27552,840,105,998,14,835,2248,27285,95026,40.9,297271.17,0,9,5,20,21,333,15,2,41.8500284,-88.3125738
Geneva,29401,14287,15114,28594,97,37,618,0,381,1662,27739,117951,41,342947.08,0,0,1,5,27,125,2,0,41.8875281,-88.3053525
Mundelein,37208,18979,18229,30081,737,159,4444,48,2756,11902,25306,93108,37.2,240040.42,0,15,1,11,22,148,13,1,42.263079,-88.0039653
Herscher,2180,1109,1071,2161,64,8,23,5,5,30,2150,74444,40.1,135731,0,0,0,0,0,0,0,0,41.0491989,-88.0978262
Saint Anne,5070,2607,2463,4350,667,28,83,0,112,549,4521,53723,41.2,132013,0,0,0,0,0,0,0,0,41.0250329,-87.7139249
Northbrook,40459,19008,21451,33430,850,107,6314,40,295,1265,39194,110012,49.6,566148.83,0,3,1,2,67,431,14,0,42.1275267,-87.8289548
El Paso,4395,2225,2170,4294,160,4,0,0,0,21,4374,71857,36,131423.58,0,0,0,0,0,0,0,0,40.7392018,-89.0164626
Avon,1889,945,944,1887,8,0,0,0,0,4,1885,56667,39.8,106237.25,0,0,0,0,0,0,0,0,40.6642065,-90.4348506
Green Valley,1806,946,860,1796,9,3,0,0,0,25,1781,57917,42.4,111049.92,0,0,0,0,0,0,0,0,40.4075408,-89.6428829
Bensenville,20462,10240,10222,16102,968,419,940,32,3086,9718,10744,63486,36,243386.33,0,11,4,5,26,225,21,0,41.9550296,-87.9400657
Oak Park,17408.3333333333,8192,9216.33333333333,12842.6666666667,3564.66666666667,154.666666666667,1275.33333333333,43,468,1526.66666666667,15881.6666666667,91694.6666666667,41.0333333333333,476229.61,0,0,0,0,0,0,0,0,41.8850317,-87.7845025
Dalzell,724,390,334,655,22,6,26,0,23,42,682,54000,48.1,101846,0,0,0,0,0,0,0,0,41.3578126,-89.176196
Broadview,7829,3920,3909,1416,6165,0,414,230,24,268,7561,49236,46,178354.67,0,2,12,5,28,278,24,0,41.8639201,-87.8533931
Moline,43706,21526,22180,38136,3419,359,1323,19,1767,7283,36423,52635,39.9,105564,2,33,24,169,190,780,80,8,41.5067003,-90.5151342
Malta,1692,897,795,1673,14,17,5,0,7,180,1512,68250,42.2,144915.67,0,0,0,0,0,2,0,0,41.929751,-88.8609238
Braceville,1696,898,798,1677,6,23,8,3,9,97,1599,60972,37.9,131845.92,0,0,0,0,0,0,0,0,41.2269765,-88.2647833
Morton Grove,23256,11532,11724,14791,713,16,7566,17,571,1452,21804,85476,47.4,331733.25,0,2,2,6,55,218,12,0,42.0405853,-87.7825621
Sparland,1448,738,710,1447,0,14,1,0,0,51,1397,58516,47.3,128893.83,0,0,0,0,0,0,0,0,41.0286474,-89.4384235
Magnolia,569,317,252,539,15,9,0,73,3,15,554,66250,36.3,80008.17,0,0,0,0,0,0,0,0,41.113646,-89.1945292
Gibson City,4103,1902,2201,4064,49,19,21,0,8,6,4097,44645,43.7,102967.92,0,3,0,8,3,5,0,0,40.4584275,-88.384603
Buckingham,529,254,275,524,2,0,4,0,1,15,514,77600,36.2,127442.67,0,0,0,0,0,0,0,0,41.0469767,-88.1753289
Sherrard,2394,1244,1150,2320,67,10,37,0,0,7,2387,68958,49.5,171289.67,0,0,0,0,0,0,0,0,41.318924,-90.505966
Elk Grove Village,33420,16504,16916,28444,532,245,3680,24,1500,4020,29400,79590,43.8,290179.5,0,3,9,11,35,391,59,3,42.0039178,-87.9703461
Geneseo,11004,5261,5743,10809,154,101,101,0,0,221,10783,67312,44.9,167034.83,0,0,0,0,0,0,0,0,41.4480902,-90.1542849
Wataga,1040,501,539,1012,4,6,8,0,17,29,1011,53750,48.7,80323.25,0,0,0,0,0,0,0,0,41.0253155,-90.2798474
De Land,610,313,297,608,2,12,0,0,0,22,588,64813,43.8,89064.58,0,0,0,0,0,0,0,0,40.1222568,-88.6453453
Loves Park,23837,11428,12409,22165,1058,254,764,55,364,2039,21798,52931,39.3,112012.25,0,24,13,49,71,354,31,1,42.3200189,-89.0581621
Barrington,46087,22253,23834,39013,593,138,6109,139,722,1763,44324,137994,47.7,503737,0,0,1,0,9,111,4,0,42.1539141,-88.1361888
South Elgin,23109,11520,11589,19709,969,165,1591,31,1354,4238,18871,93388,36.3,238108.92,0,13,3,8,12,85,0,0,41.9941938,-88.2922996
Arlington Heights,40227,19616.5,20610.5,34466.5,815,111,4209.5,58,1343,3588,36639,86102.5,43.4,373703.21,0,10,6,12,68,535,25,1,42.0883603,-87.9806265
West Chicago,36129,18710,17419,28466,799,383,2469,0,4655,16417,19712,80058,35.8,242023.5,2,13,6,13,28,200,17,0,41.8847507,-88.2039607
Addison,39216,19281,19935,29293,1812,401,3905,38,4986,15603,23613,64915,36.7,263669.5,1,18,6,36,65,361,38,4,41.931696,-87.9889556
Biggsville,542,249,293,536,0,4,6,0,0,0,542,47500,56.2,78875.92,0,0,0,0,0,0,0,0,40.8536498,-90.8648617
Amboy,3748,1837,1911,3629,44,0,41,15,34,85,3663,51818,46.9,94213.17,0,2,0,3,4,3,0,0,41.7141997,-89.3287061
Saunemin,621,305,316,568,0,10,45,0,31,52,569,60000,43.1,77399.42,0,0,0,0,0,0,0,0,40.8930888,-88.4053323
Bartlett,42196,21153,21043,33402,884,197,7172,37,1956,5474,36722,105862,39.6,289341.25,0,5,8,8,11,150,8,2,41.9950276,-88.1856301
Monticello,7884,3763,4121,7722,90,89,86,0,57,113,7771,75665,41.8,169863.67,0,0,0,11,4,24,0,1,40.0278116,-88.5733979
Troy Grove,161,86,75,161,0,0,0,0,0,21,140,65000,30.3,99365.83,0,0,0,0,0,0,0,0,41.4678108,-89.0831383
Rockton,11565,5605,5960,11357,156,88,26,6,58,308,11257,84159,43.2,168507.83,0,3,0,6,9,173,2,0,42.4525157,-89.0723317
Silvis,7820,3614,4206,6956,968,82,42,12,269,1407,6413,50620,38.7,101916,0,3,3,26,39,123,12,0,41.5122561,-90.4151301
Coal Valley,6138,3085,3053,6014,86,50,35,10,78,212,5926,72292,44.4,177410.58,0,4,0,5,8,61,4,0,41.4286456,-90.4609648
Joliet,25775.6,12767.2,13008.4,17079.4,5417.8,269.2,576.6,14.4,3473.2,8535.4,17240.2,58530.2,34.22,137202.616,8,44,122,312,449,1726,137,49,41.525031,-88.0817252
Somonauk,4401,2303,2098,4298,25,33,67,3,35,105,4296,77333,45.8,186659.92,0,0,0,1,3,2,0,0,41.6336414,-88.6811883
Eldena,92,63,29,92,0,0,0,0,0,0,92,76136,58.5,74058.33,0,0,0,0,0,0,0,0,41.771144,-89.410099
Homer Glen,22961,11777,11184,21811,250,51,675,0,460,1449,21512,103058,44.4,341589.5,0,1,2,6,31,107,11,1,41.6000318,-87.9381112
Hinsdale,18402,9150,9252,15999,244,14,2294,0,175,794,17608,183500,41.8,982351.83,0,2,0,0,23,60,15,0,41.8008642,-87.9370052
Forest Park,14041,6247,7794,8737,4113,82,1300,0,297,1027,13014,59361,40.2,278529.58,1,6,32,27,70,415,46,0,41.8794758,-87.81367
Eureka,7245,3551,3694,7056,114,52,41,0,132,243,7002,58936,35.7,147782.42,0,2,0,9,2,30,2,0,40.7214251,-89.2728627
Lake Zurich,42637,21299,21338,36357,1008,145,5008,124,868,3441,39196,135146,42,429947.17,0,1,1,3,18,238,3,0,42.1969689,-88.0934108
Granville,2297,1170,1127,2273,0,26,13,0,24,139,2158,66196,44.9,98325.67,0,0,0,0,0,0,0,0,41.2611471,-89.2275863
Willowbrook,27903,13561,14342,21810,2324,0,4310,0,153,1371,26532,94060,46.6,527717.67,0,0,0,0,0,0,0,0,41.7697533,-87.9358931
Lexington,3058,1453,1605,3022,31,14,4,0,0,13,3045,65547,41.1,142664,0,1,0,0,1,0,0,0,40.6414237,-88.7834001
Gibson City,4103,1902,2201,4064,49,19,21,0,8,6,4097,44645,43.7,102967.92,0,3,0,8,3,5,0,0,40.4584275,-88.384603
Evergreen Park,19666,9031,10635,13974,5095,90,268,0,722,2536,17130,72054,40.1,187546.75,0,4,19,31,30,883,8,2,41.720589,-87.7017175
Gilman,1959,930,1029,1679,19,17,5,17,255,274,1685,54375,44.5,80105.33,0,0,0,1,5,48,0,0,40.7667015,-87.992262
Golf,560,300,260,529,1,0,30,0,2,47,513,200500,38.4,812012.75,0,0,0,0,0,3,0,0,42.058918,-87.7925629
Woodstock,32526,16008,16518,30402,1273,296,566,0,668,6173,26353,66520,39.3,209509.83,0,10,2,12,27,266,5,0,42.3147436,-88.4487021
