zipcode,total_pop,male,female,med_age,race_w,race_aa,race_nat,race_as,race_api,race_oth,eth_hisp,eth_nonhisp
60411,57800,27613,30187,34.2,18353,30695,303,302,0,9749,15338,42462
60415,14254,6854,7400,33.9,11775,1693,0,564,85,339,1326,12928
60416,9164,4645,4519,36,8946,174,14,121,0,56,442,8722
60417,15225,7529,7696,48.6,10203,4551,108,170,0,576,1101,14124
60419,22644,10287,12357,36.7,1628,21147,231,176,0,117,497,22147
60420,4812,2485,2327,45.5,4736,92,0,38,0,8,124,4688
60421,3843,1907,1936,41.2,3720,134,26,22,0,14,320,3523
60422,9768,4608,5160,46.3,3780,5867,16,101,13,30,355,9413
60423,30938,15173,15765,42.8,28019,1677,75,1044,0,462,1768,29170
60424,2465,1257,1208,44.9,2412,6,2,38,0,7,150,2315
60425,8912,4032,4880,40.8,2264,6449,176,131,0,211,701,8211
60426,28924,13497,15427,36.2,5312,21292,205,569,0,2141,6193,22731
60428,12271,5652,6619,36.5,1937,9840,60,112,0,441,1162,11109
60429,15387,7218,8169,40.9,2290,13006,75,31,0,51,786,14601
60430,20227,9684,10543,42.3,10657,8901,90,560,0,523,1096,19131
60431,23219,11746,11473,35.4,18710,3475,272,824,0,950,4142,19077
60432,20222,10229,9993,30.9,10431,4289,219,105,0,5975,11589,8633
60433,16629,8507,8122,35.7,9202,5979,213,52,0,1871,5756,10873
60435,49863,23790,26073,35.9,35245,8503,557,1398,54,6174,14081,35782
60436,18945,9564,9381,33.2,11809,4843,85,504,18,2396,7109,11836
60437,183,86,97,38.8,183,0,0,0,0,0,3,180
60438,28960,12583,16377,41.4,15055,12353,461,300,0,1559,4377,24583
60439,23422,11452,11970,46.4,22330,292,182,840,0,138,1524,21898
60440,52246,25822,26424,35.6,26694,12544,430,5244,34,10140,15284,36962
60441,35415,17954,17461,36.6,30565,3114,194,717,0,1415,3333,32082
60442,10531,5375,5156,34.3,10324,38,25,66,0,132,488,10043
60443,21554,9874,11680,42.8,4938,16210,192,499,24,335,1091,20463
60444,1721,902,819,36.6,1695,0,0,31,0,0,99,1622
60445,25930,12626,13304,43,22368,2146,192,690,33,1048,4600,21330
60446,40085,19166,20919,33.9,25448,4894,474,3216,23,7844,13159,26926
60447,14220,6775,7445,33.8,13204,355,34,177,17,666,2395,11825
60448,26710,13600,13110,40.4,25650,377,129,675,22,376,1498,25212
60449,9400,4498,4902,44.4,7323,1559,0,354,0,405,785,8615
60450,20460,10200,10260,42.8,19741,444,102,182,6,335,1698,18762
60451,34945,17167,17778,38.7,34238,340,91,372,29,335,2296,32649
60452,28324,14366,13958,41.4,24688,1460,49,1368,0,1083,4076,24248
60453,56420,27759,28661,40.9,46763,4095,330,2235,10,4695,11988,44432
60455,16479,7780,8699,36.5,13871,754,146,1121,56,958,3748,12731
60456,4308,1961,2347,38.7,4096,110,5,7,0,147,699,3609
60457,14018,7219,6799,39.2,13251,529,23,96,15,206,2515,11503
60458,15288,7105,8183,32,11405,3033,26,422,7,863,3310,11978
60459,28908,14464,14444,38.2,24666,930,88,774,28,3091,8974,19934
60460,1333,627,706,41.7,1330,0,8,0,0,0,10,1323
60461,4917,2272,2645,49.2,1081,3832,13,127,0,11,0,4917
60462,40305,19707,20598,43.3,36265,1823,321,1449,23,1060,3490,36815
60463,14926,7174,7752,51.6,14105,293,140,364,0,271,589,14337
60464,9715,4495,5220,50.8,9069,196,42,369,0,295,769,8946
60465,17473,7986,9487,40.9,16101,978,32,432,0,326,1515,15958
60466,21989,10285,11704,38.7,6654,14967,213,130,0,866,1153,20836
60467,26628,12745,13883,49.6,23287,535,46,2716,31,473,1508,25120
60468,6044,3186,2858,40.6,5878,68,106,12,13,76,429,5615
60469,5780,2811,2969,30.2,4353,1015,151,71,0,450,3075,2705
60470,497,260,237,47,497,0,3,0,0,0,11,486
60471,14055,6720,7335,37.9,1571,12225,180,254,0,262,393,13662
60472,4870,2537,2333,36.4,475,4420,43,12,0,25,308,4562
60473,22201,10368,11833,40.8,3768,18020,37,132,6,391,1058,21143
60474,986,506,480,36.7,986,0,7,3,0,0,53,933
60475,9674,4819,4855,40.9,6482,2517,111,140,40,687,1491,8183
60476,2493,1179,1314,43.7,1974,425,18,63,0,62,293,2200
60477,37919,18451,19468,40.1,33315,2331,58,972,10,1698,4624,33295
60478,17112,7738,9374,39.9,1844,14822,17,424,0,157,1049,16063
60479,934,483,451,40.8,927,0,0,0,0,7,67,867
60480,5370,2540,2830,44.8,4789,183,78,324,0,155,869,4501
60481,11540,5857,5683,46.5,10974,120,167,121,10,309,736,10804
60482,10916,5479,5437,41.4,10040,336,20,276,43,436,1355,9561
60484,6580,2941,3639,32.7,817,5880,126,81,11,23,202,6378
60487,26588,13162,13426,38.5,23834,1076,57,1825,0,477,1982,24606
60490,22202,11270,10932,35,12486,3851,38,4955,12,2078,3659,18543
60491,22961,11777,11184,44.4,21811,250,51,675,0,460,1449,21512
60501,11854,5973,5881,31.7,7884,739,16,464,0,2780,8531,3323
60502,22622,11175,11447,37.6,15149,2106,66,4786,0,1211,2512,20110
60503,16973,8316,8657,33.8,11309,1652,340,2803,77,1405,3169,13804
60504,38013,18669,19344,34.1,25188,6230,424,6061,59,1717,7028,30985
60505,77190,39022,38168,30.4,38482,7132,1311,862,72,31848,58413,18777
60506,54216,27194,27022,35,36007,8328,627,2132,188,9316,21535,32681
60510,29533,14540,14993,40.9,27552,840,105,998,14,835,2248,27285
60511,1932,1107,825,35.7,1902,8,24,8,8,4,45,1887
60512,1184,566,618,48.9,1184,0,0,0,0,0,0,1184
60513,18880,8596,10284,39,16234,1093,146,514,0,1368,4319,14561
60514,10109,4929,5180,40.6,8951,103,187,999,29,179,1026,9083
60515,28566,13852,14714,42.2,26145,808,91,1708,21,156,1136,27430
60516,29268,14113,15155,44.7,25740,1287,100,2083,10,452,1843,27425
60517,32328,15966,16362,37.7,24638,3168,174,4699,10,827,4397,27931
60518,3543,1772,1771,43.7,3406,76,9,23,2,38,294,3249
60519,63,24,39,43.3,63,0,0,0,0,0,23,40
60520,2810,1327,1483,40.4,2738,21,7,32,0,71,156,2654
60521,18402,9150,9252,41.8,15999,244,14,2294,0,175,794,17608
60523,10136,4653,5483,58.7,7043,340,65,2808,0,115,364,9772
60525,30576,15276,15300,43.4,28013,1487,117,723,8,862,4241,26335
60526,13546,6437,7109,41.2,12364,618,30,307,11,480,1697,11849
60527,27903,13561,14342,46.6,21810,2324,0,4310,0,153,1371,26532
60530,484,257,227,39.6,476,13,2,0,0,3,10,474
60531,1759,907,852,42.8,1737,0,14,0,0,26,176,1583
60532,28178,13905,14273,37.7,22827,1529,208,3691,18,636,2055,26123
60534,10544,5210,5334,34.6,8630,580,61,256,8,1369,5328,5216
60536,116,56,60,36.8,116,0,0,0,0,0,0,116
60537,647,379,268,39,647,0,0,0,0,0,34,613
60538,28451,13971,14480,32.5,23143,2009,309,961,18,3433,8991,19460
60539,273,227,46,46.2,194,6,0,0,0,74,151,122
60540,45112,21977,23135,40.2,36701,1856,195,7124,69,469,3033,42079
60541,3660,1878,1782,36.6,3639,27,76,8,0,1,99,3561
60542,18125,8825,9300,39.2,14704,1001,131,1359,0,1510,2848,15277
60543,40027,20317,19710,36.8,34662,2220,208,2018,0,1937,6226,33801
60544,26498,12157,14341,40.5,21923,2849,43,1419,49,1165,4343,22155
60545,13259,6773,6486,33.1,11348,1478,58,157,22,503,3754,9505
60546,15685,7653,8032,42.3,13649,595,108,767,0,986,3452,12233
60548,12374,6103,6271,35.7,11753,40,42,19,0,586,1454,10920
60549,232,121,111,42,232,0,0,0,0,0,0,232
60550,1454,742,712,49.6,1446,4,4,4,0,0,24,1430
60551,5500,3754,1746,38.2,4369,1159,43,29,0,2,335,5165
60552,4401,2303,2098,45.8,4298,25,33,67,3,35,105,4296
60553,701,392,309,42.7,691,6,2,0,0,4,2,699
60554,12166,6172,5994,45.5,10961,631,123,365,0,319,846,11320
60555,13448,6775,6673,37.4,11813,726,45,841,9,365,2537,10911
60556,2029,928,1101,39.3,2008,62,6,13,0,0,154,1875
60557,157,81,76,66.8,157,0,0,0,0,0,0,157
60558,13227,6317,6910,41.7,12948,149,46,163,24,56,633,12594
60559,24529,11651,12878,39.1,18705,1938,160,3640,56,803,3199,21330
60560,24886,12460,12426,35.5,21503,1883,120,849,0,1193,3049,21837
60561,23163,11115,12048,45.4,18986,871,59,3381,10,684,1351,21812
60563,37409,18220,19189,36.8,27324,3315,255,6770,10,698,3701,33708
60564,42513,21180,21333,39.2,28720,2948,116,11337,0,320,1677,40836
60565,40773,20141,20632,40.8,32367,2093,347,7303,90,286,1595,39178
60585,24368,12483,11885,36.6,18602,2005,89,2735,54,1501,3190,21178
60586,47692,23023,24669,32.1,38648,4824,319,1787,0,3111,10093,37599
60601,14675,7191,7484,34.9,11134,818,74,2883,0,16,1274,13401
60602,1244,693,551,30.6,889,67,66,263,0,0,81,1163
60603,1174,573,601,28.9,812,44,0,385,0,0,115,1059
60604,782,369,413,32.4,506,54,0,232,0,0,34,748
60605,27519,13138,14381,33.9,17721,5165,135,5054,16,543,1608,25911
60606,3101,1502,1599,37.2,2355,115,95,597,0,125,195,2906
60607,29591,14724,14867,30.1,18019,4672,240,7039,55,578,2457,27134
60608,79205,43845,35360,32.4,36642,14389,945,9969,44,18980,40146,39059
60609,61495,30270,31225,31.7,28757,15609,1068,4151,12,13476,32860,28635
60610,39019,17874,21145,33.6,29446,6143,288,3521,7,410,2601,36418
60611,32426,15207,17219,38.9,25068,1131,150,6229,17,643,1701,30725
60612,34311,16680,17631,31.6,10068,21222,276,1736,94,1779,4206,30105
60613,50113,25205,24908,33.1,42720,3253,603,4136,29,1198,5662,44451
60614,71308,35945,35363,30.3,62400,3344,374,6737,116,768,4317,66991
60615,41563,19140,22423,33.8,13924,23992,462,4032,33,1029,2573,38990
60616,54464,25807,28657,36.8,16630,14292,319,22553,36,1939,4600,49864
60617,82534,38160,44374,37,32178,46857,309,303,25,4250,31079,51455
60618,94395,48151,46244,34.4,77631,3429,833,7415,200,8702,38152,56243
60619,61258,27681,33577,41.3,1573,59701,411,302,22,442,869,60389
60620,68096,30001,38095,40.8,1334,66170,285,340,28,533,911,67185
60621,29042,13184,15858,34,801,27640,137,82,0,509,1061,27981
60622,52793,27216,25577,31.7,43079,4294,227,3358,106,3890,11579,41214
60623,85979,41947,44032,30.3,33821,27439,682,259,30,24944,56864,29115
60624,36158,16906,19252,30.7,1557,33235,166,140,63,1465,1915,34243
60625,79243,39692,39551,34.2,54692,5491,564,12744,210,10228,25978,53265
60626,49730,24582,25148,34,30840,13322,461,3684,115,3305,10252,39478
60628,66724,30816,35908,38.8,3354,63110,326,230,25,554,2292,64432
60629,111850,54815,57035,31.2,48280,23214,1053,657,225,40874,79432,32418
60630,57344,27889,29455,40.2,43541,1960,583,7640,52,6593,16007,41337
60631,29529,14264,15265,42.6,27516,608,78,1411,38,770,3152,26377
60632,91039,46372,44667,30.9,48821,2405,1812,5405,17,34929,76434,14605
60633,12871,6786,6085,38.9,9187,3043,27,57,0,658,5790,7081
60634,75995,36934,39061,39.1,60691,2117,523,4620,52,9485,29065,46930
60636,32203,15225,16978,40,1571,29413,191,28,33,1536,2472,29731
60637,47454,20877,26577,30.7,8376,36745,478,2325,16,470,1341,46113
60638,58797,29033,29764,37.7,44576,2349,656,558,75,12924,30440,28357
60639,90517,45009,45508,33.1,41149,13599,750,1672,86,35728,70538,19979
60640,69715,35614,34101,37.3,46813,12605,920,8800,106,2981,9939,59776
60641,71023,34841,36182,35.9,50999,2771,790,4431,147,15335,38350,32673
60642,20201,10109,10092,31.2,15332,2332,169,1831,0,1442,4074,16127
60643,49870,22638,27232,43.5,11841,37822,578,275,24,811,1649,48221
60644,47712,22043,25669,33.3,2648,43369,111,132,81,1921,3068,44644
60645,47732,23740,23992,35.6,28860,8733,487,9045,45,2608,8127,39605
60646,27987,13222,14765,43.7,23812,440,71,3343,34,963,3971,24016
60647,87509,44327,43182,31.8,70093,7140,797,3984,120,9002,39226,48283
60649,46024,19172,26852,37.7,2308,43404,312,261,19,497,1183,44841
60651,63218,29134,34084,33,11544,34029,651,596,27,18366,26860,36358
60652,43907,20784,23123,35.7,12807,21572,496,659,24,10080,17479,26428
60653,31972,13703,18269,35.1,2052,29491,248,685,18,153,689,31283
60654,19135,9754,9381,33.1,15414,1139,97,2886,17,203,997,18138
60655,28804,13876,14928,38.7,26028,2077,78,491,65,358,2390,26414
60656,27579,13992,13587,40.5,24041,398,57,2642,67,1309,3382,24197
60657,70052,35414,34638,31.2,62338,2568,361,6192,145,849,4901,65151
60659,41068,21031,20037,34.7,23584,4687,409,12347,27,2057,7880,33188
60660,43242,21537,21705,36.7,29555,6673,333,6239,68,1804,7728,35514
60661,9926,5109,4817,30.8,5952,438,55,3719,13,63,640,9286
60706,23301,11124,12177,45,20840,230,65,1831,12,598,2498,20803
60707,43019,20752,22267,39.6,32323,3814,561,2103,16,5725,16505,26514
60712,12539,6097,6442,47.3,8174,340,84,4405,0,203,964,11575
60714,29743,14246,15497,47.7,22349,1031,96,6072,134,722,3337,26406
60803,22390,11245,11145,36.2,15813,4769,159,318,51,1894,5072,17318
60804,83147,41769,41378,30,31994,3201,613,583,43,47835,74180,8967
60805,19666,9031,10635,40.1,13974,5095,90,268,0,722,2536,17130
60827,28577,12911,15666,32.7,1961,26627,243,63,0,290,1222,27355
60901,35509,17115,18394,36.9,22930,11367,299,410,0,1215,4753,30756
60910,671,339,332,39.4,636,41,0,5,0,0,102,569
60911,1308,673,635,43.6,1271,28,4,0,0,13,27,1281
60912,521,280,241,49.5,487,20,2,1,0,11,12,509
60913,1409,726,683,53,1338,31,72,2,0,8,41,1368
60914,29969,13951,16018,34.4,26505,3071,58,641,31,350,2240,27729
60915,10121,4997,5124,33.5,9177,481,12,68,14,425,1356,8765
60917,529,254,275,36.2,524,2,0,4,0,1,15,514
60918,777,422,355,48.8,762,7,0,0,0,8,32,745
60919,481,246,235,48.2,479,0,2,0,0,0,15,466
60920,199,94,105,44.1,199,0,0,0,0,0,0,199
60921,1517,757,760,38.8,1485,81,0,7,0,40,124,1393
60922,2389,1263,1126,35.5,2226,79,0,7,0,127,247,2142
60924,1485,761,724,48.2,1476,0,0,7,7,2,15,1470
60926,35,16,19,59.4,33,0,0,0,0,2,2,33
60927,2106,1045,1061,45,2093,18,22,13,0,0,17,2089
60928,775,345,430,39.8,774,6,5,1,0,0,11,764
60929,803,318,485,33.3,803,69,38,0,0,0,19,784
60930,925,430,495,41.1,910,4,2,18,0,0,13,912
60931,537,265,272,39.3,535,37,8,3,1,3,16,521
60932,92,37,55,33.1,92,0,0,0,0,0,0,92
60933,312,160,152,40.4,312,0,0,0,0,0,0,312
60934,259,138,121,39.6,245,14,0,0,0,0,0,259
60935,1210,648,562,39.1,1193,13,33,7,0,0,11,1199
60936,4103,1902,2201,43.7,4064,49,19,21,0,8,6,4097
60938,1959,930,1029,44.5,1679,19,17,5,17,255,274,1685
60940,3433,1728,1705,44.3,3374,4,57,0,0,25,346,3087
60941,2180,1109,1071,40.1,2161,64,8,23,5,5,30,2150
60942,5871,3027,2844,45.6,5262,133,101,151,0,307,848,5023
60945,175,87,88,52.7,165,9,2,1,0,1,0,175
60946,445,204,241,37.6,439,0,6,0,0,0,1,444
60948,1496,779,717,47.3,1375,42,0,18,0,61,24,1472
60949,535,252,283,38.7,480,44,1,10,3,3,15,520
60950,11803,6079,5724,43.8,11350,354,0,195,0,52,744,11059
60951,825,444,381,48.4,808,8,7,2,0,13,29,796
60952,686,339,347,34.9,676,1,4,12,0,2,32,654
60953,2449,1239,1210,46.2,2350,16,3,2,17,95,196,2253
60954,5846,3289,2557,43,5204,478,59,17,0,398,839,5007
60955,1614,840,774,41.6,1322,37,0,6,0,264,474,1140
60957,5288,2637,2651,41.7,4913,125,18,54,5,183,292,4996
60958,1784,866,918,39.7,352,1443,0,4,0,13,179,1605
60959,1060,537,523,50.4,1006,0,19,5,0,39,48,1012
60960,1092,574,518,42.5,1072,6,8,0,0,17,98,994
60961,725,375,350,40.9,706,16,0,0,0,19,19,706
60962,645,355,290,38.1,632,10,3,0,0,8,22,623
60963,1895,916,979,36.2,1852,3,17,25,3,3,13,1882
60964,5070,2607,2463,41.2,4350,667,28,83,0,112,549,4521
60966,1626,784,842,45.4,1536,54,43,5,0,65,47,1579
60968,335,163,172,44.4,295,21,8,0,0,26,73,262
60969,58,33,25,24.5,58,0,0,0,0,0,0,58
60970,6948,3169,3779,47.1,6538,55,37,50,24,315,485,6463
60973,411,193,218,34.2,399,0,0,0,0,12,18,393
60974,294,136,158,41.5,285,23,2,0,0,0,12,282
