city_name,county_name,lat,long
Williamsville,Sangamon,39.9542161,-89.5487126
Pecatonica,Winnebago,42.3139078,-89.3592788
Ransom,La Salle,41.1561445,-88.6495133
Hastings,Cook,41.6811423,-87.9717254
Homewood,Cook,41.5572567,-87.6656015
Lomax,Henderson,40.67893,-91.072921
Washburn,Woodford,40.919202,-89.2911973
Newark,Kendall,41.536975,-88.5834068
New Minden,Washington,38.4414386,-89.3703603
Stone Park,Cook,41.9055862,-87.8836732
Hanover Park,Cook,41.9994722,-88.1450735
Loami,Sangamon,39.6756064,-89.846771
Kinsman,Grundy,41.1897554,-88.569512
Nokomis,Montgomery,39.3011566,-89.285085
Ingraham,Clay,38.8361573,-88.333933
Pittwood,Iroquois,40.8608678,-87.7294783
Victoria,Knox,41.0336485,-90.0984504
Palatine,Cook,42.1103041,-88.03424
Chana,Ogle,41.9805848,-89.2198238
Westchester,Cook,41.8505866,-87.8820048
Hartsburg,Logan,40.2508762,-89.440933
Hartford,Madison,38.8333815,-90.09594
Owaneco,Christian,39.4822664,-89.1936976
Wonder Lake,McHenry,42.3852983,-88.3473126
Deer Grove,Whiteside,41.607811,-89.689547
Saint Libory,Saint Clair,38.3625488,-89.7098187
Green Rock,Henry,41.47309,-90.3576273
Fithian,Vermilion,40.1139242,-87.8730857
Ripley,Brown,40.022826,-90.6387392
Annawan,Henry,41.3972573,-89.9045518
Reddick,Kankakee,41.0982752,-88.2486749
Hume,Edgar,39.7967015,-87.8686414
Cary,McHenry,42.2119684,-88.2381381
South Beloit,Winnebago,42.4930708,-89.0367764
Scottville,Macoupin,39.4803252,-90.1048343
Wildwood,Lake,42.3427999,-87.9981333
Prairie City,McDonough,40.6211512,-90.4620731
Richton Park,Cook,41.484479,-87.7033787
Como,Whiteside,41.7664194,-89.7670545
Roscoe,Winnebago,42.4133505,-89.0092742
Twin Grove,McLean,40.4933701,-89.0798018
Lynnville,Morgan,39.686991,-90.3459561
Sawyerville,Macoupin,39.07838,-89.807318
Dix,Jefferson,38.4417157,-88.9375635
Loraine,Adams,40.1542128,-91.2223653
Mineral,Bureau,41.3825354,-89.8364934
Canton,Fulton,40.5580945,-90.0351167
Farina,Fayette,38.8342128,-88.7722761
Harrisburg,Saline,37.7383812,-88.540607
Peru,La Salle,41.3275349,-89.1289728
Orion,Henry,41.3547575,-90.3815165
Zion,Lake,42.4461322,-87.8328505
Cisne,Wayne,38.5158815,-88.4375481
Liverpool,Fulton,40.3917076,-90.0009491
Saint Augustine,Knox,40.7183728,-90.4109616
Carrollton,Greene,39.3022693,-90.4070632
Sadorus,Champaign,39.9669758,-88.3464425
Hoyleton,Washington,38.4417163,-89.2742452
Alsey,Scott,39.5606027,-90.4340126
Lake Forest,Lake,42.2586342,-87.840625
Highwood,Lake,42.1997468,-87.8092335
Plymouth,Hancock,40.2917112,-90.919023
Davis Junction,Ogle,42.1016919,-89.0931574
Dixmoor,Cook,41.6317009,-87.6608807
Leland,La Salle,41.6125306,-88.7995237
Panola,Woodford,40.7836458,-89.0211857
Franklin,Morgan,39.6203259,-90.0440001
Crestwood,Cook,41.6611444,-87.7525511
Mill Shoals,White,38.2486586,-88.3467125
Norwood,Peoria,40.7055931,-89.6987129
Cropsey,McLean,40.6092009,-88.4786678
Roseville,Warren,40.7322617,-90.6645784
Old Mill Creek,Lake,42.4219653,-87.9725781
Wheeling,Cook,42.1391928,-87.9289591
Emden,Logan,40.2986538,-89.4851011
Pulaski,Pulaski,37.2136615,-89.2059111
Wayne City,Wayne,38.345326,-88.5878312
Morris,Grundy,41.357254,-88.4211785
Kincaid,Christian,39.5886601,-89.4145363
Farmer City,De Witt,40.2433676,-88.6425668
Elgin,Kane,42.0372487,-88.2811895
Goofy Ridge,Mason,40.3944852,-89.9376141
Half Day,Lake,42.2011357,-87.9334053
Pearl City,Stephenson,42.265297,-89.8259532
Winthrop Harbor,Lake,42.4789098,-87.8236841
Maryville,Madison,38.7236594,-89.9559348
Cerro Gordo,Piatt,39.8905912,-88.7281262
Brussels,Calhoun,38.9494939,-90.5887314
Orland Hills,Cook,41.5853107,-87.8431078
Ellsworth,McLean,40.4503125,-88.7167336
Gilson,Knox,40.8617048,-90.2015111
Andover,Henry,41.2939249,-90.2920678
Saint Charles,Kane,41.9141945,-88.3086867
Woosung,Ogle,41.9033646,-89.5409408
Goodenow,Will,41.3914234,-87.6367079
Girard,Macoupin,39.4464409,-89.7809301
Caseyville,Saint Clair,38.6367162,-90.0256606
Standard City,Macoupin,39.3522723,-89.7875959
Rock Falls,Whiteside,41.7797533,-89.6889967
Adair,McDonough,40.4189309,-90.4967942
Ridgefield,McHenry,42.2683559,-88.3614762
Chenoa,McLean,40.7417014,-88.7197856
Vienna,Johnson,37.4153295,-88.8978435
Bowen,Hancock,40.2333789,-91.0626375
Hoffman,Clinton,38.541438,-89.2636875
Mark,Putnam,41.2644805,-89.2500869
Oakford,Menard,40.1025463,-89.9631693
Triumph,La Salle,41.4994765,-89.0220257
Pleasant Mound,Bond,38.8631022,-89.290352
Channahon,Will,41.4294753,-88.2286735
Piper City,Ford,40.756702,-88.191158
Danville,Vermilion,40.124481,-87.6300207
Crest Hill,Will,41.554753,-88.0986709
Timberlane,Boone,42.3347416,-88.8612138
Earlville,La Salle,41.5894754,-88.9220265
Bingham,Fayette,39.1142114,-89.2134097
Hudson,McLean,40.6058688,-88.9872965
Fenton,Whiteside,41.7305855,-90.0301192
North Chicago,Lake,42.325578,-87.8411818
Lakemoor,McHenry,42.3286331,-88.1989732
Momence,Kankakee,41.1667001,-87.662815
Grayslake,Lake,42.3444664,-88.041746
Springfield,Sangamon,39.8017171,-89.6437107
Curran,Sangamon,39.7422737,-89.7720477
Rockbridge,Greene,39.2692131,-90.2042796
Boulder,Clinton,38.6967148,-89.225627
Melvin,Ford,40.5675346,-88.2478272
Sycamore,DeKalb,41.9889173,-88.6867538
Fairfield,Wayne,38.378937,-88.3597684
Imbs,Saint Clair,38.5236627,-90.1353876
Summum,Fulton,40.2678221,-90.2784557
Kane,Greene,39.190047,-90.353727
Shannon,Carroll,42.1547457,-89.7398389
Taylor Springs,Montgomery,39.1308806,-89.4920315
Colfax,McLean,40.5669788,-88.6164508
Clayton,Adams,40.0314366,-90.9606897
The Galena Territory,Jo Daviess,42.3955922,-90.3158667
Galesburg,Knox,40.9478158,-90.3712395
Oak Hills,Saint Clair,38.6381048,-89.980659
Stanford,McLean,40.4347608,-89.2178643
Marion,Williamson,37.7306054,-88.9331256
Ringwood,McHenry,42.3922427,-88.2970335
State Park Place,Madison,38.6586606,-90.0473278
Lerna,Coles,39.4183688,-88.2886551
Spring Valley,Bureau,41.3275352,-89.1998077
Sumner,Lawrence,38.7169919,-87.8614202
Menominee,Jo Daviess,42.4877816,-90.5331836
Birds,Lawrence,38.8369899,-87.6678032
Lacon,Marshall,41.0247583,-89.4112007
Harlem,Winnebago,42.3402964,-89.017884
Medora,Macoupin,39.1744908,-90.1431654
Cicero,Cook,41.8455878,-87.7539448
Thompsonville,Franklin,37.9175489,-88.7622836
Bluff City,Fayette,38.9639343,-89.0464537
Wilmette,Cook,42.0722513,-87.7228384
Sheridan,La Salle,41.5300309,-88.6797969
Huey,Clinton,38.6044931,-89.2911874
Chicago Ridge,Cook,41.7014217,-87.7792196
East Hazel Crest,Cook,41.5736457,-87.6464346
Longview,Champaign,39.8867002,-88.0664274
Vera,Fayette,39.0342114,-89.1131251
Horatio Gardens,Lake,42.1644698,-87.9422936
Kings,Ogle,42.004195,-89.1059327
Whiteash,Williamson,37.785369,-88.92931
Marley,Will,41.5486432,-87.9256095
Lakewood Shores,Will,41.2816984,-88.1447794
Litchfield,Montgomery,39.1753256,-89.6542579
North Glen Ellyn,DuPage,41.8919736,-88.0631233
Mount Morris,Ogle,42.0503062,-89.4312201
Riverwoods,Lake,42.1675254,-87.897014
South Barrington,Cook,42.0914152,-88.1217421
Island Lake,Lake,42.2761341,-88.1920272
Olympia Fields,Cook,41.513368,-87.6742119
West Jersey,Stark,41.018926,-89.9270538
Holder,McLean,40.4511462,-88.8042368
Mapleton,Peoria,40.5664276,-89.7317726
Rochelle,Ogle,41.9239178,-89.0687074
