zipcode,zhvi
62536,176529.08
62537,74572.25
62538,56289.75
62539,90949.42
62540,61864.58
62543,95756.92
62544,100304.83
62545,126944.33
62546,87261.42
62547,73896.58
62548,98329.58
62549,145298.25
62550,99245.83
62551,86744.00
62553,113811.33
62554,122422.00
62555,101439.33
62556,75876.00
62557,63957.33
62558,134227.00
62560,82691.33
62561,135484.33
62563,208311.42
62565,95899.83
62567,76948.08
62568,90370.33
62570,52742.75
62571,84130.00
62572,64091.00
62573,112289.58
62601,90909.33
62611,104503.92
62612,96175.50
62613,153881.00
62615,128497.67
62617,44431.75
62618,68975.92
62622,104619.17
62624,136470.71
62625,197520.25
62626,90509.08
62627,64955.17
62628,77536.42
62629,204466.50
62630,46305.08
62631,86359.83
62633,54247.58
62634,104917.67
62635,89929.75
62638,91521.67
62640,91398.00
62642,88629.25
62643,92839.08
62644,61587.08
62649,57091.58
62650,99802.92
62655,57326.08
62656,90077.75
62661,138138.25
62664,64378.17
62665,56543.67
62666,68052.00
62667,68399.75
62668,80059.33
62670,154637.00
62671,75920.50
62672,44804.83
62673,111547.42
62674,69983.33
62675,160664.00
62677,156911.17
62681,87164.38
62682,74695.50
62684,220090.67
62685,89972.67
62688,97484.83
62690,83891.25
62691,86022.75
62692,73954.92
62693,176312.75
62694,67218.17
62695,88176.17
62701,82139.00
62702,79356.33
62703,76587.50
62704,129712.33
62707,132956.33
62711,256430.00
62712,216650.92
62801,64826.75
62803,97672.92
62806,55956.00
62808,77297.25
62810,76760.50
62812,65717.00
62814,88209.58
62816,63361.00
62818,41755.70
62819,50535.50
62821,88160.50
62822,50655.08
62823,63196.17
62824,57019.75
62827,49219.50
62828,80852.50
62830,100441.25
62831,91397.00
62832,64553.92
62835,49919.25
62836,87177.50
62837,74487.33
62838,59424.50
62839,65281.92
62841,52089.75
62842,55446.75
62844,50902.00
62846,56550.08
62848,67474.08
62850,37176.67
62858,70537.00
62859,67725.50
62860,92793.83
62862,61879.08
62863,87014.83
62864,90432.17
62865,74853.50
62867,56518.08
62868,63501.25
62869,70174.92
62872,74978.42
62875,100840.58
62876,49886.67
62877,81501.25
62878,62617.08
62880,67741.67
62882,102512.00
62883,98608.70
62884,66803.75
62885,75708.08
62887,62359.17
62888,72445.33
62889,92040.67
62890,93486.17
62891,60800.42
62893,86305.67
62894,95878.33
62896,68623.42
62897,87472.08
62898,123242.83
62899,69793.08
62901,116467.17
62902,166003.67
62903,216251.67
62905,115071.83
62906,91324.08
62907,115605.58
62908,96980.33
62910,68111.33
62912,99464.00
62915,67748.25
62916,111060.17
62917,74489.92
